policy,episode,episode_reward,avg_mean_aoi,final_energy,final_state,charge_steps,success_updates,service_attempts,success_rate,max_queue
random,1,-46.722844416979136,11.5,3660.3034118079813,resume,14,0,13,0.0,1628.1637757835267
random,2,-47.17459196414173,11.5,3661.1248477776126,resume,14,0,16,0.0,1627.3430587202074
random,3,-47.5725132976141,11.5,3650.2067765319093,resume,15,0,19,0.0,1510.3752732053124
random,4,-47.67760066753092,11.5,2752.4835256702886,return,18,0,17,0.0,2319.6186463625468
random,5,-46.86267813346305,11.5,3365.515031277869,resume,15,0,14,0.0,1706.587140828211
heuristic_discrete,1,-37.65472996480982,10.5,2249.8600585553713,normal,0,1,1,1.0,2750.1399414446273
heuristic_discrete,2,-37.703602432000565,10.5,2212.4105998767045,normal,0,1,1,1.0,2787.589400123294
heuristic_discrete,3,-37.722581775681974,10.65,2231.573145974953,normal,0,1,1,1.0,2768.4268540250455
heuristic_discrete,4,-37.82007603278481,10.5,2266.7579253313975,normal,0,1,2,0.5,2733.242074668603
heuristic_discrete,5,-38.0184232847925,10.825,2175.087033167155,normal,0,1,2,0.5,2824.9129668328446
